监测时间,水温,pH,高锰酸盐指数,氨氮,总磷,总氮,溶解氧
2021-05-31 16:00:00,25.455,8.5647,5.14,0.0535,0.103,4.022,13.2459
2021-05-31 20:00:00,24.06,8.36525,4.705,0.053,0.0905,4.064,8.5532
2021-06-01 00:00:00,23.045,8.17435,4.53,0.1105,0.087,4.2345,6.50485
2021-06-01 04:00:00,22.72,8.158,4.66,0.064,0.0865,4.19,6.2102
2021-06-01 08:00:00,22.805,8.20335,4.455,0.063,0.091,4.0085,6.69545
2021-06-01 12:00:00,24.66,8.40715,4.585,0.0465,0.099,3.9585,9.80075
2021-06-01 16:00:00,26.61,8.59065,4.925,0.0445,0.108,4.213,12.6614
2021-06-01 20:00:00,25.13,8.42585,4.53,0.057,0.0945,4.1415,7.8796
2021-06-02 00:00:00,23.565,8.20925,4.225,0.0695,0.0815,4.0475,5.7146
2021-06-02 04:00:00,23.225,8.17005,4.355,0.0525,0.0815,3.8665,5.53375
2021-06-02 08:00:00,23.47,8.22995,4.635,0.055,0.09,3.777,6.29675
2021-06-02 12:00:00,25.605,8.49345,6.115,0.0295,0.1345,3.799,11.4183
2021-06-02 16:00:00,25.89,8.53395,6.09,0.031,0.129,3.935,11.35425
2021-06-02 20:00:00,24.385,8.3085,6.18,0.2505,0.137,4.138,7.2573
2021-06-03 00:00:00,23.525,8.18155,6.6,0.362,0.139,4.466,6.44215
2021-06-03 04:00:00,23.215,8.12405,6.55,0.073,0.135,4.024,6.07125
2021-06-03 08:00:00,22.84,8.1154,6.68,0.1385,0.145,4.186,6.3866
2021-06-03 12:00:00,23.765,8.27595,6.235,0.1325,0.148,4.025,8.89675
2021-06-03 16:00:00,24.67,8.4507,6.22,0.054,0.1435,3.8525,10.75495
2021-06-03 20:00:00,23.64,8.40385,6.03,0.0305,0.136,3.838,8.48145
2021-06-04 00:00:00,22.075,8.24045,6.015,0.0405,0.127,3.759,6.89615
2021-06-04 04:00:00,20.8,8.1453,5.925,0.0475,0.1225,3.7425,6.41085
2021-06-04 08:00:00,20.665,8.24795,5.21,0.025,0.1195,3.695,8.01975
2021-06-04 12:00:00,23.93,8.7004,5.515,0.0295,0.1235,3.596,17.52205
2021-06-04 16:00:00,25.84,8.77485,6.385,0.026,0.122,3.617,7.906725
2021-06-04 20:00:00,24,8.5719,6.125,0.0285,0.1175,3.6135,13.8809
2021-06-05 00:00:00,21.945,8.41825,6.125,0.0285,0.1175,3.6135,8.3141
2021-06-05 04:00:00,21.255,8.34465,5.935,0.0335,0.1195,3.46,7.35095
2021-06-05 08:00:00,21.62,8.3426,5.895,0.031,0.1265,3.566,8.48615
2021-06-05 12:00:00,24.54,8.57235,5.685,0.0265,0.117,3.6925,13.1128
2021-06-05 16:00:00,26.045,8.70285,6.23,0.0255,0.1155,3.7075,15.2885
2021-06-05 20:00:00,24.37,8.5444,6.18,0.03,0.113,4.041,9.607
2021-06-06 00:00:00,22.775,8.3208,6.07,0.043,0.1135,3.99,7.10185
2021-06-06 04:00:00,21.885,8.23935,5.905,0.041,0.11,3.7595,6.406
2021-06-06 08:00:00,21.775,8.28185,5.555,0.0335,0.1085,3.9625,7.5715
2021-06-06 12:00:00,24.64,8.546,5.89,0.03,0.109,3.976,11.9975
2021-06-06 16:00:00,26.445,8.68535,6.1,0.03,0.114,4.0365,14.48455
2021-06-06 20:00:00,25.23,8.57415,6.12,0.0375,0.1055,3.9285,10.0724
2021-06-07 00:00:00,23.89,8.345,5.86,0.044,0.096,4.166,7.46985
2021-06-07 04:00:00,23.535,8.197,5.695,0.0425,0.0935,4.108,6.57135
2021-06-07 08:00:00,23.59,8.1878,5.57,0.044,0.1005,3.8425,6.8698
2021-06-07 12:00:00,25.15,8.47115,6.275,0.042,0.114,3.694,11.0399
2021-06-07 16:00:00,26.83,8.6307,5.995,0.036,0.1115,3.8985,13.6043
2021-06-07 20:00:00,25.875,8.5237,5.945,0.044,0.1,3.848,9.18005
2021-06-08 00:00:00,24.795,8.28575,5.945,0.044,0.1,3.848,6.7498
2021-06-08 04:00:00,24.225,8.17255,5.87,0.0655,0.0955,3.9835,6.07065
2021-06-08 08:00:00,24.16,8.20725,7.8,0.056,0.104,3.683,7.39285
2021-06-08 12:00:00,26.6,8.5754,6.2,0.031,0.116,3.717,13.1487
2021-06-08 16:00:00,26.775,8.54165,5.725,0.0475,0.107,4.0325,9.9465
2021-06-08 20:00:00,25.8,8.4081,5.415,0.0615,0.1005,4.0085,7.9131
2021-06-09 00:00:00,24.97,8.22725,5.415,0.0615,0.1005,4.0085,6.44825
2021-06-09 04:00:00,24.54,8.1327,5.675,0.087,0.0955,3.9785,5.84195
2021-06-09 08:00:00,24.305,8.1746,5.535,0.081,0.1035,4.0725,6.575
2021-06-09 12:00:00,24.255,8.1809,5.975,0.137,0.108,3.87,6.69265
2021-06-09 16:00:00,24.135,8.18205,5.91,0.15,0.1315,3.7485,7.2309
2021-06-09 20:00:00,23.705,8.14275,5.79,0.1565,0.129,3.816,6.9062
2021-06-10 00:00:00,23.17,8.0472,5.79,0.1565,0.129,3.816,6.21385
2021-06-10 04:00:00,22.915,8.00635,6.58,1.3125,0.163,5.356,6.1144
2021-06-10 08:00:00,22.975,8.0346,5.41,0.9165,0.145,4.8135,6.2983
2021-06-10 12:00:00,24.39,8.17945,5.285,0.294,0.1845,4.7915,7.97465
2021-06-10 16:00:00,25.84,8.26645,6.99,0.666,0.2155,4.17,8.07795
2021-06-10 20:00:00,25.035,8.26155,6.86,0.247,0.186,3.8385,7.90325
2021-06-11 00:00:00,24.405,8.2153,6.86,0.247,0.186,3.8385,7.4913
2021-06-11 04:00:00,23.7,8.19645,6.49,0.122,0.151,3.888,7.2432
2021-06-11 08:00:00,23.52,8.18985,6.445,0.0945,0.1525,4.045,7.1696
2021-06-11 12:00:00,25.29,8.23725,6.395,0.071,0.1605,3.9275,8.0382
2021-06-11 16:00:00,25.575,8.27355,7.035,0.0825,0.1715,3.7455,8.2007
2021-06-11 20:00:00,25.445,8.26965,6.995,0.069,0.1755,3.783,7.75475
2021-06-12 00:00:00,25.035,8.2712,6.76,0.064,0.1525,4.3745,7.44115
2021-06-12 04:00:00,24.535,8.2179,6.91,0.0755,0.15,4.3635,6.95885
2021-06-12 08:00:00,24.32,8.13665,7.365,0.1475,0.171,4.754,6.717
2021-06-12 12:00:00,26.01,8.12575,7.735,0.271,0.182,4.984,6.87945
2021-06-12 16:00:00,26.735,8.13715,8.025,0.418,0.1915,4.5265,6.61865
2021-06-12 20:00:00,26.38,8.1,7.5,0.424,0.182,4.688,6.19245
2021-06-13 00:00:00,25.875,8.0713,6.835,0.2875,0.1485,5.0455,5.92185
2021-06-13 04:00:00,25.425,8.07125,6.835,0.227,0.1535,4.901,5.9
2021-06-13 08:00:00,25.39,8.06025,6.455,0.258,0.167,4.9465,5.91955
2021-06-13 12:00:00,26.18,8.10065,6.73,0.456,0.1775,5.0525,6.3949
2021-06-13 16:00:00,27.405,8.14105,6.96,0.4855,0.185,5.089,6.75575
2021-06-13 20:00:00,26.635,8.13605,6.865,0.598,0.182,5.469,6.35355
2021-06-14 00:00:00,26.055,8.094,6.865,0.598,0.182,5.469,6.1002
2021-06-14 04:00:00,26.18,8.07985,6.515,0.5025,0.1535,5.2215,6.07615
2021-06-14 08:00:00,25.87,8.05305,6.225,0.341,0.168,4.852,6.02545
2021-06-14 12:00:00,25.505,8.0886,6.6,0.2465,0.209,5.4935,6.4411
2021-06-14 16:00:00,25.335,8.019,7.06,0.809,0.213,6.278,6.37835
2021-06-14 20:00:00,24.94,7.89375,6.415,0.3875,0.186,6.017,5.62185
2021-06-15 00:00:00,24.55,7.96575,6.415,0.3875,0.186,6.017,6.15745
2021-06-15 04:00:00,24.13,7.9949,5.77,0.544,0.133,5.529,6.48505
2021-06-15 08:00:00,24.105,7.96095,6.03,1.06,0.164,5.9605,5.97655
2021-06-15 12:00:00,25.39,7.9831,6.05,0.724,0.142,5.6215,6.1084
2021-06-15 16:00:00,25.52,8.00635,7.235,0.717,0.166,5.589,5.92145
2021-06-15 20:00:00,25.385,7.982,7.59,1.064,0.189,5.954,5.6137
2021-06-16 00:00:00,25.265,8.01325,7.59,0.9845,0.1955,6.0735,6.0198
2021-06-16 04:00:00,25.12,8.0107,6.835,0.5105,0.2035,6.015,6.075
2021-06-16 08:00:00,25.02,8.01615,6.575,0.46,0.2095,6.2605,6.11235
2021-06-16 12:00:00,24.55,8.03915,5.63,0.2475,0.203,5.989,6.4152
2021-06-16 16:00:00,24.12,8.04675,5.68,0.2765,0.202,5.912,6.5234
2021-06-16 20:00:00,23.64,8.00325,5.795,0.7075,0.2105,6.337,7.7021
2021-06-17 00:00:00,23.165,8.0341,5.495,0.335,0.2105,6,7.68315
2021-06-17 04:00:00,22.68,8.0468,5.585,0.2565,0.2085,5.656,7.60735
2021-06-17 08:00:00,22.435,8.06145,5.67,0.2395,0.219,6.08,7.29215
2021-06-17 12:00:00,22.5,8.0305,7.59,0.4265,0.239,5.944,6.3997
2021-06-17 16:00:00,22.925,8.0775,4.79,0.1705,0.224,5.7185,6.769
2021-06-17 20:00:00,22.505,8.09575,5.21,0.1365,0.21,5.5305,6.83995
2021-06-18 00:00:00,22.045,8.1054,5.265,0.12,0.2005,5.2715,6.90045
2021-06-18 04:00:00,21.675,8.10315,5.29,0.335,0.187,5.399,6.711
2021-06-18 08:00:00,21.525,8.1039,5.205,0.275,0.184,5.485,6.83595
2021-06-18 12:00:00,23.24,8.13705,5.145,0.0995,0.1855,5.4735,7.15165
2021-06-18 16:00:00,24.57,8.15015,5.065,0.111,0.196,5.7875,7.06405
2021-06-18 20:00:00,24.245,8.158,4.84,0.0895,0.1905,5.6345,6.913
2021-06-19 00:00:00,23.59,8.18435,4.725,0.0405,0.171,5.355,7.223
2021-06-19 04:00:00,22.915,8.188,4.545,0.04,0.165,5.5625,7.1664
2021-06-19 08:00:00,22.705,8.19,4.71,0.0345,0.1715,5.6875,7.2064
2021-06-19 12:00:00,23.835,8.1964,5.035,0.0405,0.1915,5.582,7.34705
2021-06-19 16:00:00,25.4,8.22765,4.955,0.025,0.192,5.6455,7.5192
2021-06-19 20:00:00,24.895,8.23345,4.875,0.028,0.1845,5.674,7.2291
2021-06-20 00:00:00,24.195,8.23695,4.755,0.031,0.165,5.8515,7.10185
2021-06-20 04:00:00,23.625,8.2316,4.54,0.028,0.1545,5.557,7.09415
2021-06-20 08:00:00,23.295,8.23165,4.62,0.0255,0.16,5.559,7.23255
2021-06-20 12:00:00,25.115,8.2521,4.715,0.025,0.1775,5.85,7.52135
2021-06-20 16:00:00,26.6,8.2547,4.69,0.025,0.1995,6.295,7.56345
2021-06-20 20:00:00,25.815,8.24465,4.555,0.028,0.1775,6.09,7.14615
2021-06-21 00:00:00,25.14,8.25295,4.38,0.031,0.1575,5.799,7.12475
2021-06-21 04:00:00,24.555,8.2503,4.595,0.03,0.1485,5.5045,6.97125
2021-06-21 08:00:00,24.255,8.2397,4.42,0.031,0.152,5.7365,7.02025
2021-06-21 12:00:00,25.705,8.2326,4.605,0.0335,0.1655,5.901,7.25375
2021-06-21 16:00:00,27.38,8.26255,4.655,0.025,0.172,5.9615,7.56475
2021-06-21 20:00:00,26.595,8.27495,4.665,0.0325,0.1645,6.0035,7.26695
2021-06-22 00:00:00,25.755,8.24505,4.2,0.038,0.1485,5.978,6.94515
2021-06-22 04:00:00,25.215,8.2527,3.93,0.0395,0.1435,4.8785,6.92905
2021-06-22 08:00:00,25.03,8.27935,4.21,0.0395,0.1425,5.8675,7.366
2021-06-22 12:00:00,27.49,8.33815,5.86535,0.0275,0.158,5.814,8.6853
2021-06-22 16:00:00,28.815,8.37985,4.365,0.0265,0.1565,5.8515,9.33045
2021-06-22 20:00:00,27.315,8.34315,4.125,0.028,0.1495,5.696,7.9334
2021-06-23 00:00:00,26.295,8.283,3.855,0.0345,0.1365,5.6445,7.17655
2021-06-23 04:00:00,25.615,8.26575,3.88,0.036,0.1365,5.4825,7.05375
2021-06-23 08:00:00,25.665,8.27025,3.87,0.027,0.1385,5.7455,7.36705
2021-06-23 12:00:00,27.135,8.3173,3.585,0.025,0.152,5.6005,8.08225
2021-06-23 16:00:00,26.85,8.3,7.200125,0.0255,0.156,5.5915,7.60435
2021-06-23 20:00:00,25.99,8.27145,7.637875,0.0335,0.15,5.3805,7.0972
2021-06-24 00:00:00,25.56,8.241,7.553625,0.0385,0.1405,5.4955,6.9358
2021-06-24 04:00:00,24.97,8.2533,7.24675,0.0385,0.1355,5.168,6.90135
2021-06-24 08:00:00,24.67,8.2807,6.8995,0.028,0.1335,5.15,7.405
2021-06-24 12:00:00,25.455,8.3982,5.74,0.025,0.133,5.1865,9.16785
2021-06-24 16:00:00,25.69,8.4282,4.705,0.0275,0.1335,5.1825,9.71115
2021-06-24 20:00:00,25.205,8.3774,4.09,0.027,0.1265,5.1885,8.30835
2021-06-25 00:00:00,24.635,8.318,3.755,0.0425,0.1215,4.1965,7.488
2021-06-25 04:00:00,24,8.27725,3.49,0.0545,0.1155,4.2685,7.0915
2021-06-25 08:00:00,23.63,8.2557,3.6,0.0645,0.121,4.1665,7.20505
2021-06-25 12:00:00,24.91,8.3157,3.9,0.04,0.124,5.251,8.5254
2021-06-25 16:00:00,27.29,8.4582,4.315,0.025,0.128,4.981,9.69275
2021-06-25 20:00:00,26.055,8.43805,4.875,0.025,0.1435,4.906,9.24045
2021-06-26 00:00:00,25.025,8.31315,4.875,0.025,0.1435,4.906,7.47735
2021-06-26 04:00:00,24.605,8.26775,3.97,0.0545,0.1265,4.3095,7.0561
2021-06-26 08:00:00,24.61,8.2636,4.33,0.1175,0.1385,4.513,7.39285
2021-06-26 12:00:00,27.015,8.51225,5.165,0.025,0.138,4.799,13.7017
2021-06-26 16:00:00,28.225,8.57955,5.85,0.025,0.1305,4.6875,6.635825
2021-06-26 20:00:00,27.38,8.483,5.805,0.025,0.1225,3.2505,18.3505
2021-06-27 00:00:00,26.51,8.3618,5.805,0.025,0.1225,3.2505,10.30195
2021-06-27 04:00:00,25.645,8.32095,4.385,0.0255,0.1025,3.5815,8.183
2021-06-27 08:00:00,25.46,8.44445,4.34,0.025,0.105,3.8765,9.95865
2021-06-27 12:00:00,28.715,8.5342,5.11,0.025,0.1005,4.4845,8.609775
2021-06-27 16:00:00,30.965,8.52465,5.085,0.025,0.091,4.5615,10.301675
2021-06-27 20:00:00,29.27,8.47985,5.055,0.025,0.09,3.6025,8.7803
2021-06-28 00:00:00,27.505,8.2847,5.055,0.025,0.09,3.6025,16.96505
2021-06-28 04:00:00,26.295,8.1865,4.57,0.046,0.088,3.384,8.66955
2021-06-28 08:00:00,25.955,8.31285,4.8,0.0285,0.091,3.5495,12.2817
2021-06-28 12:00:00,29.45,8.5274,5.115,0.041,0.087,3.407,9.521525
2021-06-28 16:00:00,31.47,8.47115,4.585,0.0505,0.09,4.1965,8.578125
2021-06-28 20:00:00,29.075,8.4347,4.585,0.055,0.084,3.109,18.4496
2021-06-29 00:00:00,26.635,8.30365,4.585,0.055,0.084,3.109,8.52285
2021-06-29 04:00:00,25.53,8.27835,4.525,0.125,0.086,3.1185,7.29085
2021-06-29 08:00:00,25.455,8.2341,4.565,0.0685,0.0895,3.218,7.84385
2021-06-29 12:00:00,28.425,8.45715,5.02,0.0585,0.098,3.0235,16.1552
2021-06-29 16:00:00,31.665,8.40115,5.225,0.335,0.1095,3.4025,19.19295
2021-06-29 20:00:00,29,8.37515,4.7,0.2165,0.0925,3.317,9.55295
2021-06-30 00:00:00,27.4,8.26795,4.7,0.2165,0.0925,3.317,8.48165
2021-06-30 04:00:00,26.35,8.1626,4.135,0.0675,0.0735,3.2405,8.71235
2021-06-30 08:00:00,26.185,8.1941,4.595,0.0585,0.081,3.134,10.8891
2021-06-30 12:00:00,30.14,8.38245,4.415,0.0585,0.084,2.813,19.4858
2021-06-30 16:00:00,28.77,8.47425,4.205,0.05,0.074,2.9945,13.8536
2021-06-30 20:00:00,27.375,8.4594,4.265,0.042,0.0685,3.009,12.5008
2021-07-01 00:00:00,26.35,8.3085,3.6,0.059,0.0615,3.0665,9.07555
2021-07-01 04:00:00,26.01,8.18185,4.025,0.124,0.0925,3.5885,6.9709
2021-07-01 08:00:00,25.55,8.205,3.465,0.1035,0.101,3.66,6.8887
2021-07-01 12:00:00,26.63,8.22595,4.935,0.174,0.121,4.081,8.07275
2021-07-01 16:00:00,28.105,8.33445,4.665,0.053,0.1195,3.9735,9.2578
2021-07-01 20:00:00,26.84,8.3171,5.26,0.977,0.129,4.807,8.1477
2021-07-02 00:00:00,25.61,8.2312,5.26,0.977,0.129,4.807,7.1171
2021-07-02 04:00:00,25.115,8.1972,5.41,1.444,0.122,5.519,6.48515
2021-07-02 08:00:00,25.03,8.2291,5.105,0.827,0.1155,4.7335,7.25265
2021-07-02 12:00:00,25.815,8.58835,5.78,0.279,0.1125,4.04,16.2213
2021-07-02 16:00:00,25.445,8.6142,5.905,0.0865,0.106,3.606,17.8621
2021-07-02 20:00:00,24.49,8.43065,5.31,0.0865,0.105,3.3205,10.6339
2021-07-03 00:00:00,23.825,8.3255,5.31,0.0865,0.105,3.3205,10.04525
2021-07-03 04:00:00,23.305,8.24035,4.59,0.041,0.0855,3.472,8.2815
2021-07-03 08:00:00,23.105,8.3016,4.815,0.0645,0.09,3.515,9.8657
2021-07-03 12:00:00,25.45,8.44165,6.62,0.4175,0.155,4.6125,6.986845
2021-07-03 16:00:00,25.82,8.2243,5.92,0.214,0.212,4.872,9.15585
2021-07-03 20:00:00,25.885,8.16405,5.76,0.5305,0.1835,5.045,9.15585
2021-07-04 00:00:00,24.67,8.108,5.76,0.5305,0.1835,5.045,6.79235
2021-07-04 04:00:00,24.255,8.09455,4.9,0.129,0.158,4.4535,6.80005
2021-07-04 08:00:00,24.07,8.06105,4.915,0.184,0.154,4.879,6.9828
2021-07-04 12:00:00,26.055,8.2235,5.94,0.4635,0.1775,5.334,8.5019
2021-07-04 16:00:00,27.62,8.53745,7.42,0.9055,0.1945,5.8655,11.0352
2021-07-04 20:00:00,26.9,8.6069,6.345,0.503,0.186,5.4165,11.2094
2021-07-05 00:00:00,25.87,8.4942,6.345,0.503,0.186,5.4165,9.5919
2021-07-05 04:00:00,24.68,8.38435,5.34,0.085,0.167,4.985,7.90635
2021-07-05 08:00:00,24.43,8.44235,5.465,0.0515,0.151,4.993,9.4962
2021-07-05 12:00:00,27.21,8.6786,6.5,0.03,0.163,4.937,18.35375
2021-07-05 16:00:00,28.77,8.66315,6.43,0.028,0.167,4.815,8.718725
2021-07-05 20:00:00,27.565,8.62555,5.685,0.032,0.1605,4.711,13.2316
2021-07-06 00:00:00,26.49,8.33925,5.685,0.032,0.1605,4.711,7.8975
2021-07-06 04:00:00,25.945,8.231,4.045,0.032,0.1405,4.594,7.11865
2021-07-06 08:00:00,26.115,8.28975,5.16,0.025,0.1625,4.8215,7.5543
2021-07-06 12:00:00,27.985,8.5875,5.875,0.025,0.167,4.765,14.20045
2021-07-06 16:00:00,29.32,8.67325,6.475,0.025,0.1595,4.704,17.6573
2021-07-06 20:00:00,27.135,8.55975,5.97,0.025,0.158,5.052,10.8982
2021-07-07 00:00:00,26.47,8.43895,4.655,0.0265,0.142,4.765,8.12325
2021-07-07 04:00:00,26.06,8.3264,4.065,0.028,0.129,4.7625,7.1708
2021-07-07 08:00:00,25.755,8.328,4.54,0.025,0.137,4.728,7.92745
2021-07-07 12:00:00,27.99,8.66615,5.62,0.025,0.1455,4.6725,17.5782
2021-07-07 16:00:00,29.685,8.6636,6.615,0.025,0.1475,4.627,6.0608
2021-07-07 20:00:00,28.24,8.5924,5.86,0.025,0.137,4.5495,14.3452
2021-07-08 00:00:00,27.645,8.4974,4.55,0.025,0.122,4.341,8.7777
2021-07-08 04:00:00,26.3,8.29915,3.76,0.025,0.1135,4.5775,7.32085
2021-07-08 08:00:00,25.82,8.3179,4.135,0.025,0.12,4.6895,8.11775
2021-07-08 12:00:00,28.47,8.6249,4.78,0.025,0.123,4.5795,16.14095
2021-07-08 16:00:00,30.045,8.7268,5.59,0.025,0.1295,4.59,19.04305
2021-07-08 20:00:00,28.17,8.63985,5.925,0.025,0.136,4.7275,13.74295
2021-07-09 00:00:00,26.725,8.431,4.44,0.065,0.1305,4.8425,8.5903
2021-07-09 04:00:00,25.15,8.1269,5.815,0.6975,0.1695,5.3555,7.14075
2021-07-09 08:00:00,24.915,8.05615,5.785,0.81,0.1795,5.827,7.4079
2021-07-09 12:00:00,27.87,8.1234,7.125,0.495,0.207,5.4765,8.3513
2021-07-09 16:00:00,29.13,8.0885,7.327125,0.2985,0.214,5.213,7.3368
2021-07-09 20:00:00,28.17,8.1368,6.755,0.525,0.196,5.2055,7.2352
2021-07-10 00:00:00,27.42,8.09805,6.755,0.525,0.196,5.2055,6.56055
2021-07-10 04:00:00,26.475,8.09335,6.38,0.0625,0.1815,4.652,6.3362
2021-07-10 08:00:00,26.475,8.1179,6.685,0.068,0.175,4.47,6.60495
2021-07-10 12:00:00,28.285,8.22095,7.245,0.025,0.173,4.8385,7.9003
2021-07-10 16:00:00,28.405,8.37605,7.005,0.025,0.193,5.004,8.8435
2021-07-10 20:00:00,27.74,8.37855,6.82,0.025,0.177,4.8745,8.2161
2021-07-11 00:00:00,27.2,8.30125,6.82,0.025,0.177,4.8745,7.15405
2021-07-11 04:00:00,26.54,8.2607,6.165,0.025,0.1705,5.0455,6.863
2021-07-11 08:00:00,26,8.20975,5.71,0.025,0.1505,5.051,6.87215
2021-07-11 12:00:00,26.115,8.23335,5.71,0.031,0.151,5.1855,7.5759
2021-07-11 16:00:00,26.175,8.2558,6.95,0.0345,0.226,5.1755,7.6885
2021-07-11 20:00:00,25.615,8.1683,5.955,0.0795,0.163,5.177,6.86985
2021-07-12 00:00:00,25.105,8.07835,5.955,0.0795,0.163,5.177,6.10015
2021-07-12 04:00:00,24.69,8.02835,7.805,0.4185,0.193,6.1025,5.81045
2021-07-12 08:00:00,24.795,8.0077,6.95,0.627,0.194,6.498,5.9297
2021-07-12 12:00:00,26.36,7.9714,7.18,1.5085,0.229,6.066,5.81755
2021-07-12 16:00:00,27.69,8.0854,7.18,0.4945,0.2215,4.4155,6.4807
2021-07-12 20:00:00,27.39,8.12265,5.625,0.4065,0.184,4.4505,6.6558
2021-07-13 00:00:00,26.79,8.11555,5.625,0.4065,0.184,4.4505,6.4746
2021-07-13 04:00:00,26.235,8.1064,5.735,0.286,0.1635,4.9345,6.3302
2021-07-13 08:00:00,26.295,8.1062,6.21,0.1445,0.188,5.068,6.2921
2021-07-13 12:00:00,27.865,8.16235,7.39,0.0965,0.2085,5.2665,6.59495
2021-07-13 16:00:00,29.23,8.20675,7.455,0.1415,0.219,5.3345,6.6745
2021-07-13 20:00:00,26.385,7.917,8.185,0.824,0.214,6.9705,5.23405
2021-07-14 00:00:00,23.585,8.0774,8.185,0.1484,0.214,6.9705,6.2918
2021-07-14 04:00:00,24.14,8.04395,6.855,0.256,0.184,5.938,6.5677
2021-07-14 08:00:00,25.33,8.0428,5.94,0.2195,0.1575,5.842,6.5376
2021-07-14 12:00:00,27.75,8.10435,6.555,0.2965,0.158,6.1355,6.82765
2021-07-14 16:00:00,29.375,8.1036,6.11,0.4065,0.1735,6.5785,6.58895
2021-07-14 20:00:00,28.8124775,7.729675,8.475325,0.6334725,0.169,4.627695,4.21137
2021-07-15 00:00:00,29.02,7.721,11.5,0.213,0.242,7.846,3.873
2021-07-15 04:00:00,28.57,7.682,12.14,0.252,0.243,7.765,3.219
2021-07-15 08:00:00,26.795,8.02535,8.12,0.2295,0.1855,6.6065,5.7634
2021-07-15 12:00:00,29.38,7.675,12.51,0.408,0.212,8.815,3.743
2021-07-15 16:00:00,29.375,8.0884,7.59,0.226,0.2,7.161,6.0946
2021-07-15 20:00:00,28.945,8.10765,7.51,0.1585,0.1895,7.186,5.9758
2021-07-16 00:00:00,28.285,8.10605,7.51,0.1585,0.1895,7.186,5.9648
2021-07-16 04:00:00,27.805,8.12445,6.53,0.124,0.17,6.381,6.0503
2021-07-16 08:00:00,27.665,8.1316,6.13,0.178,0.161,6.523,6.16415
2021-07-16 12:00:00,29.355,8.15635,6.41,0.27,0.168,6.253,6.53005
2021-07-16 16:00:00,30.655,8.14655,6.29,0.2995,0.16,5.3275,6.5128
2021-07-16 20:00:00,29.8,8.15755,5.55,0.2335,0.1585,5.224,6.113
2021-07-17 00:00:00,28.955,8.1365,5.725,0.211,0.1505,5.22,5.93635
2021-07-17 04:00:00,28.585,8.1363,4.87,0.209,0.1325,5.414,5.9984
2021-07-17 08:00:00,28.06,8.1247,4.315,0.787,0.1375,5.721,6.11185
2021-07-17 12:00:00,30.055,8.1502,4.975,0.6175,0.1565,5.567,6.8905
2021-07-17 16:00:00,29.675,8.1512,4.825,0.1845,0.1495,5.428,6.29895
2021-07-17 20:00:00,29.015,8.1573,5.685,0.1445,0.1525,5.3685,6.1384
2021-07-18 00:00:00,28.35,8.15415,6.28,0.074,0.1505,5.2055,6.1472
2021-07-18 04:00:00,28.08,8.17175,5.185,0.057,0.1395,4.7825,6.3003
2021-07-18 08:00:00,27.67,8.1654,4.61,0.0475,0.1375,5.3125,6.55365
2021-07-18 12:00:00,27.955,8.2124,5.63,0.059,0.151,5.8715,6.99335
2021-07-18 16:00:00,28.22,8.2381,4.28,0.0515,0.15,6.027,7.2919
2021-07-18 20:00:00,27.69,8.2597,4.515,0.0375,0.1315,5.5185,6.85535
2021-07-19 00:00:00,27.075,8.2289,4.575,0.0495,0.135,5.156,6.72635
2021-07-19 04:00:00,26.475,8.2081,5.305,0.0615,0.156,5.689,6.642
2021-07-19 08:00:00,26.285,8.2098,5.305,0.041,0.15,5.063,6.7765
2021-07-19 12:00:00,26.535,8.2375,5.96,0.03,0.15,4.988,7.21575
2021-07-19 16:00:00,28.54,7.904,6.78,0.034,0.175,5.735,5.976
2021-07-19 20:00:00,26.42,8.27525,5.255,0.049,0.147,5.388,7.1496
2021-07-20 00:00:00,25.93,8.25895,4.705,0.078,0.1435,5.416,7.0815
2021-07-20 04:00:00,25.515,8.232,4.62,0.0935,0.1415,5.454,7.05275
2021-07-20 08:00:00,25.25,8.224,5.04,0.0575,0.1465,6.012,7.14645
2021-07-20 12:00:00,25.45,8.25975,5.57,0.0485,0.163,6.2475,7.35145
2021-07-20 16:00:00,26.235,8.2305,5.74,0.5615,0.159,6.7225,7.0131
2021-07-20 20:00:00,25.69,8.22135,5.825,0.2905,0.151,5.939,6.55415
2021-07-21 00:00:00,25.26,8.20915,5.27,0.1485,0.1525,6.2955,6.5413
2021-07-21 04:00:00,24.885,8.2152,5.66,0.067,0.145,5.828,6.77225
2021-07-21 08:00:00,24.615,8.21895,5.09,0.0505,0.15,5.4655,7.10125
2021-07-21 12:00:00,25.8,8.27555,5.15,0.045,0.1555,5.758,7.97505
2021-07-21 16:00:00,25.995,8.29045,5.535,0.0415,0.16,5.295,7.57285
2021-07-21 20:00:00,25.565,8.2925,5.66,0.036,0.1565,5.2765,7.0839
2021-07-22 00:00:00,25.33,8.26695,5.585,0.036,0.1495,5.191,6.79865
2021-07-22 04:00:00,24.975,8.2541,5.595,0.0405,0.1485,5.114,6.9136
2021-07-22 08:00:00,24.795,8.24915,5.435,0.0445,0.1495,5.0405,7.30365
2021-07-22 12:00:00,26.51,8.29455,5.285,0.071,0.156,5.1125,8.08855
2021-07-22 16:00:00,26.29,8.29985,5.22,0.05,0.154,4.76,7.6152
2021-07-22 20:00:00,25.93,8.2964,5.03,0.0965,0.1485,5.0575,6.90185
2021-07-23 00:00:00,25.535,8.28925,5.03,0.0965,0.1485,5.0575,6.91385
